timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
193000,3.763,1.79,0.133,0.079,0.028,0.002,0.582,0.176
194000,3.912,1.73,0.138,0.081,0.028,0.002,0.58,0.171
195000,1.572,1.82,0.161,0.072,0.019,0.003,0.587,0.158
196000,3.428,1.71,0.163,0.063,0.011,0.005,0.598,0.16
197000,1.793,1.83,0.161,0.077,0.012,0.003,0.587,0.16
198000,1.804,1.79,0.153,0.066,0.029,0.003,0.588,0.161
199000,2.79,1.82,0.144,0.086,0.024,0.006,0.591,0.149
200000,-1.308,1.65,0.158,0.069,0.023,0.002,0.608,0.14
201000,0.779,1.76,0.158,0.08,0.016,0.003,0.594,0.149
202000,-0.4396,1.79,0.131,0.097,0.013,0.002,0.587,0.17
203000,6.057,1.82,0.151,0.084,0.024,0.005,0.595,0.141
204000,1.911,1.8,0.153,0.09,0.021,0.001,0.586,0.149
205000,4.887,1.78,0.161,0.082,0.012,0.004,0.594,0.147
206000,2.673,1.7,0.156,0.085,0.017,0.001,0.594,0.147
207000,3.745,1.82,0.142,0.095,0.015,0.003,0.596,0.149
208000,2.023,1.67,0.141,0.092,0.02,0.002,0.588,0.157
209000,3.317,1.72,0.162,0.092,0.014,0.001,0.593,0.138
210000,4.07,1.88,0.155,0.075,0.018,0.0,0.621,0.131
211000,4.352,1.77,0.153,0.085,0.013,0.002,0.6,0.147
212000,2.26,1.56,0.184,0.075,0.012,0.001,0.6,0.128
213000,3.622,1.78,0.154,0.082,0.016,0.0,0.612,0.136
214000,1.108,1.76,0.166,0.083,0.017,0.001,0.607,0.126
215000,1.514,1.73,0.151,0.091,0.009,0.002,0.614,0.133
216000,5.877,1.84,0.178,0.076,0.01,0.001,0.614,0.121
217000,4.98,1.71,0.176,0.085,0.007,0.001,0.605,0.126
218000,2.666,1.9,0.153,0.098,0.012,0.001,0.602,0.134
219000,2.994,1.75,0.145,0.089,0.015,0.003,0.596,0.152
220000,4.154,1.68,0.151,0.103,0.008,0.002,0.597,0.139
221000,1.022,1.88,0.127,0.102,0.013,0.005,0.6,0.153
222000,4.716,1.77,0.153,0.1,0.01,0.003,0.594,0.14
223000,3.48,1.92,0.145,0.102,0.012,0.003,0.604,0.134
224000,1.551,1.61,0.131,0.118,0.013,0.001,0.589,0.148
225000,2.79,1.86,0.138,0.097,0.009,0.003,0.598,0.155
226000,3.871,1.88,0.126,0.11,0.014,0.0,0.589,0.161
227000,2.161,1.84,0.136,0.093,0.011,0.003,0.6,0.157
228000,4.154,1.83,0.134,0.103,0.017,0.002,0.575,0.169
229000,1.783,2.0,0.131,0.101,0.01,0.0,0.596,0.162
230000,4.334,1.79,0.135,0.095,0.01,0.003,0.596,0.161
231000,3.8954,1.68,0.161,0.08,0.012,0.002,0.601,0.144
232000,2.744,1.76,0.149,0.081,0.006,0.001,0.616,0.147
233000,3.028,1.76,0.141,0.087,0.015,0.003,0.602,0.152
234000,1.519,1.68,0.143,0.089,0.009,0.001,0.605,0.153
235000,1.759,1.61,0.173,0.064,0.007,0.001,0.613,0.142
236000,4.068,1.66,0.175,0.066,0.007,0.002,0.615,0.135
237000,2.018,1.81,0.174,0.074,0.009,0.001,0.61,0.132
238000,0.622,1.76,0.161,0.081,0.017,0.001,0.602,0.138
239000,1.451,1.73,0.164,0.075,0.009,0.0,0.618,0.134
240000,3.752,1.81,0.182,0.069,0.012,0.001,0.617,0.119
241000,5.53,1.68,0.166,0.088,0.011,0.002,0.606,0.127
242000,4.04,1.54,0.174,0.076,0.008,0.0,0.613,0.129
243000,3.276,1.73,0.167,0.086,0.014,0.003,0.601,0.129
244000,1.922,1.76,0.167,0.078,0.016,0.001,0.615,0.123
245000,0.863,1.68,0.185,0.073,0.013,0.0,0.611,0.118
246000,5.6544,1.73,0.178,0.06,0.015,0.002,0.613,0.132
247000,2.599,1.68,0.179,0.069,0.015,0.002,0.601,0.134
248000,2.669,1.65,0.185,0.072,0.011,0.002,0.605,0.125
