phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,141000,1.684,1.55,0.01,0.063,0.009,0.074,0.482,0.362
2,142000,1.2192,1.58,0.013,0.069,0.013,0.059,0.47,0.376
2,143000,1.506,1.56,0.007,0.068,0.02,0.059,0.474,0.372
2,144000,1.4792,1.59,0.012,0.069,0.013,0.042,0.493,0.371
2,145000,1.098,1.56,0.014,0.063,0.021,0.054,0.476,0.372
2,146000,1.054,1.59,0.013,0.069,0.016,0.04,0.491,0.371
2,147000,0.512,1.61,0.015,0.07,0.009,0.035,0.507,0.364
2,148000,1.456,1.55,0.013,0.064,0.012,0.035,0.513,0.363
2,149000,1.7968,1.57,0.023,0.057,0.008,0.04,0.512,0.36
2,150000,1.8884,1.56,0.008,0.074,0.009,0.048,0.489,0.372
2,151000,0.4608,1.55,0.015,0.06,0.008,0.043,0.514,0.36
2,152000,1.9852,1.56,0.017,0.054,0.011,0.04,0.51,0.368
2,153000,1.2604,1.59,0.014,0.067,0.011,0.036,0.51,0.362
2,154000,1.9604,1.61,0.012,0.07,0.015,0.025,0.51,0.368
2,155000,1.068,1.54,0.006,0.075,0.016,0.045,0.491,0.367
2,156000,1.1792,1.63,0.018,0.071,0.018,0.047,0.489,0.357
2,157000,0.7224,1.58,0.008,0.079,0.006,0.052,0.494,0.361
2,158000,1.7292,1.55,0.011,0.067,0.012,0.043,0.502,0.365
2,159000,1.854,1.58,0.015,0.082,0.012,0.052,0.47,0.369
2,160000,1.9856,1.59,0.011,0.077,0.014,0.052,0.473,0.373
2,161000,1.4948,1.59,0.012,0.061,0.011,0.049,0.489,0.378
2,162000,1.6024,1.59,0.017,0.066,0.015,0.058,0.473,0.371
2,163000,1.5092,1.56,0.009,0.075,0.014,0.06,0.464,0.378
2,164000,1.4604,1.6,0.013,0.065,0.011,0.057,0.467,0.387
2,165000,1.8304,1.49,0.011,0.07,0.016,0.068,0.441,0.394
2,166000,0.8312,1.55,0.006,0.072,0.014,0.059,0.456,0.393
2,167000,0.8484,1.58,0.009,0.068,0.008,0.047,0.482,0.386
2,168000,2.2272,1.5,0.013,0.067,0.01,0.047,0.482,0.381
2,169000,0.916,1.56,0.006,0.066,0.014,0.055,0.467,0.392
2,170000,1.3936,1.51,0.016,0.071,0.017,0.052,0.447,0.397
2,171000,2.694,1.47,0.014,0.081,0.008,0.054,0.457,0.386
2,172000,2.936,1.54,0.014,0.068,0.013,0.051,0.471,0.383
2,173000,2.8144,1.52,0.012,0.066,0.009,0.057,0.471,0.385
2,174000,0.8712,1.54,0.019,0.073,0.011,0.056,0.466,0.375
2,175000,1.1644,1.49,0.011,0.073,0.011,0.052,0.475,0.378
2,176000,0.7992,1.55,0.012,0.068,0.013,0.056,0.467,0.384
2,177000,1.4864,1.55,0.011,0.073,0.013,0.052,0.462,0.389
2,178000,1.898,1.61,0.015,0.058,0.012,0.057,0.48,0.378
2,179000,1.4452,1.56,0.018,0.062,0.01,0.07,0.46,0.38
2,180000,1.666,1.54,0.019,0.073,0.011,0.067,0.46,0.37
2,181000,1.6588,1.54,0.011,0.078,0.018,0.073,0.445,0.375
2,182000,2.6368,1.58,0.023,0.064,0.016,0.079,0.437,0.381
2,183000,2.7932,1.53,0.014,0.072,0.018,0.074,0.452,0.37
2,184000,2.0924,1.56,0.023,0.066,0.017,0.074,0.445,0.375
2,185000,2.1932,1.55,0.011,0.078,0.018,0.074,0.437,0.382
2,186000,0.79,1.48,0.013,0.068,0.02,0.081,0.446,0.372
2,187000,0.0584,1.53,0.017,0.075,0.018,0.058,0.457,0.375
2,188000,1.6212,1.55,0.011,0.055,0.023,0.05,0.486,0.375
2,189000,1.8692,1.53,0.017,0.062,0.016,0.046,0.477,0.382
2,190000,1.7472,1.51,0.011,0.061,0.013,0.047,0.485,0.383
2,191000,1.318,1.47,0.015,0.063,0.014,0.052,0.466,0.39
2,192000,1.176,1.52,0.019,0.07,0.011,0.049,0.462,0.389
2,193000,-0.0908,1.53,0.012,0.067,0.013,0.038,0.49,0.38
2,194000,1.2256,1.53,0.011,0.07,0.008,0.034,0.486,0.391
2,195000,1.918,1.48,0.012,0.063,0.014,0.041,0.477,0.393
2,196000,1.3592,1.53,0.011,0.086,0.013,0.051,0.457,0.382
2,197000,2.1896,1.55,0.01,0.072,0.01,0.045,0.481,0.382
2,198000,1.8532,1.56,0.009,0.071,0.006,0.031,0.506,0.377
2,199000,1.5508,1.5,0.015,0.068,0.011,0.048,0.482,0.376
2,200000,2.0568,1.53,0.007,0.068,0.012,0.038,0.493,0.382
2,201000,0.35,1.55,0.016,0.061,0.008,0.043,0.497,0.375
2,202000,1.338,1.54,0.015,0.079,0.012,0.031,0.495,0.368
2,203000,0.4288,1.56,0.01,0.081,0.008,0.037,0.488,0.376
2,204000,1.768,1.47,0.012,0.049,0.016,0.041,0.504,0.378
2,205000,-0.046,1.49,0.019,0.068,0.013,0.038,0.481,0.381
2,206000,1.5208,1.55,0.014,0.067,0.013,0.035,0.485,0.386
2,207000,0.3752,1.53,0.014,0.069,0.008,0.034,0.505,0.37
2,208000,1.5132,1.5,0.014,0.071,0.007,0.021,0.507,0.38
2,209000,1.2792,1.56,0.016,0.067,0.007,0.023,0.513,0.374
2,210000,2.186,1.52,0.009,0.065,0.013,0.016,0.52,0.377
2,211000,1.4112,1.54,0.019,0.061,0.004,0.028,0.517,0.371
2,212000,2.458,1.53,0.025,0.069,0.009,0.027,0.504,0.366
2,213000,1.016,1.49,0.011,0.079,0.007,0.024,0.496,0.383
2,214000,2.3032,1.56,0.012,0.076,0.007,0.031,0.488,0.386
2,215000,1.8284,1.51,0.011,0.075,0.013,0.035,0.481,0.385
2,216000,2.308,1.52,0.016,0.063,0.011,0.031,0.49,0.389
2,217000,1.4532,1.47,0.013,0.066,0.005,0.025,0.499,0.392
2,218000,1.2888,1.51,0.016,0.08,0.005,0.034,0.479,0.386
2,219000,1.676,1.58,0.019,0.056,0.004,0.022,0.521,0.378
2,220000,1.3472,1.52,0.025,0.068,0.005,0.036,0.491,0.375
2,221000,1.8352,1.57,0.014,0.065,0.003,0.035,0.499,0.384
2,222000,1.84,1.44,0.01,0.075,0.007,0.035,0.489,0.384
2,223000,0.828,1.5,0.013,0.054,0.008,0.027,0.512,0.386
2,224000,1.294,1.51,0.017,0.073,0.003,0.019,0.499,0.389
2,225000,1.4772,1.53,0.01,0.067,0.004,0.027,0.504,0.388
2,226000,2.058,1.55,0.013,0.074,0.005,0.034,0.489,0.385
2,227000,2.5472,1.51,0.017,0.067,0.005,0.027,0.495,0.389
2,228000,0.48,1.47,0.013,0.067,0.003,0.024,0.507,0.386
2,229000,1.494,1.55,0.021,0.081,0.002,0.022,0.489,0.385
2,230000,1.5932,1.52,0.013,0.065,0.004,0.021,0.518,0.379
2,231000,0.9432,1.53,0.015,0.072,0.004,0.027,0.499,0.383
2,232000,0.922,1.53,0.01,0.068,0.006,0.022,0.511,0.383
2,233000,1.6432,1.52,0.019,0.064,0.003,0.023,0.505,0.386
2,234000,0.7452,1.58,0.017,0.07,0.001,0.017,0.511,0.384
2,235000,1.8612,1.55,0.013,0.069,0.005,0.016,0.506,0.391
