timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
228000,3.7092,1.69,0.0,0.194,0.018,0.008,0.381,0.399
229000,0.885,1.78,0.001,0.193,0.016,0.007,0.377,0.406
230000,1.248,1.79,0.001,0.193,0.012,0.005,0.373,0.416
231000,-0.068,1.79,0.0,0.191,0.017,0.003,0.367,0.422
232000,2.538,1.71,0.0,0.204,0.012,0.006,0.356,0.422
233000,2.234,1.74,0.0,0.197,0.016,0.002,0.372,0.413
234000,0.67,1.81,0.0,0.19,0.011,0.004,0.37,0.425
235000,-2.366,1.84,0.001,0.19,0.012,0.005,0.367,0.425
236000,1.982,1.77,0.001,0.182,0.006,0.005,0.382,0.424
237000,2.8032,1.77,0.0,0.198,0.014,0.008,0.357,0.423
238000,2.656,1.72,0.0,0.191,0.011,0.004,0.377,0.417
239000,2.6452,1.78,0.0,0.196,0.009,0.005,0.371,0.419
240000,0.972,1.75,0.0,0.194,0.011,0.005,0.381,0.409
241000,0.708,1.78,0.0,0.204,0.017,0.002,0.361,0.416
242000,2.0838,1.77,0.0,0.201,0.007,0.008,0.36,0.424
243000,3.098,1.83,0.001,0.202,0.011,0.004,0.377,0.405
244000,1.566,1.77,0.0,0.183,0.011,0.002,0.386,0.418
245000,0.122,1.75,0.002,0.191,0.02,0.01,0.375,0.402
246000,0.3724,1.78,0.001,0.208,0.014,0.009,0.356,0.412
247000,0.54,1.8,0.0,0.195,0.024,0.008,0.373,0.4
248000,-0.27,1.82,0.0,0.187,0.011,0.013,0.38,0.409
249000,1.7752,1.8,0.0,0.198,0.02,0.007,0.378,0.397
250000,1.538,1.76,0.001,0.197,0.017,0.006,0.373,0.406
251000,-0.286,1.78,0.001,0.2,0.023,0.011,0.36,0.405
252000,0.4472,1.83,0.0,0.2,0.016,0.007,0.367,0.41
253000,0.5072,1.8,0.0,0.198,0.018,0.008,0.371,0.405
254000,1.908,1.71,0.0,0.2,0.012,0.004,0.377,0.407
255000,1.46,1.74,0.001,0.212,0.011,0.008,0.347,0.421
256000,0.6992,1.73,0.0,0.21,0.015,0.008,0.347,0.42
257000,1.854,1.75,0.0,0.194,0.02,0.007,0.366,0.413
258000,3.254,1.82,0.0,0.182,0.012,0.008,0.38,0.418
259000,-0.3068,1.8,0.0,0.191,0.019,0.008,0.375,0.407
260000,0.712,1.74,0.0,0.196,0.009,0.001,0.374,0.42
261000,2.844,1.75,0.001,0.192,0.016,0.008,0.376,0.407
262000,-0.1928,1.77,0.0,0.197,0.008,0.01,0.367,0.418
263000,-0.324,1.85,0.0,0.217,0.008,0.003,0.357,0.415
264000,3.262,1.76,0.0,0.214,0.015,0.004,0.359,0.408
265000,2.164,1.77,0.002,0.213,0.014,0.009,0.346,0.416
266000,-2.082,1.74,0.0,0.186,0.005,0.01,0.388,0.411
267000,3.2378,1.76,0.0,0.183,0.013,0.01,0.376,0.418
268000,0.524,1.76,0.0,0.192,0.011,0.005,0.379,0.413
269000,2.3572,1.73,0.0,0.204,0.012,0.005,0.373,0.406
270000,0.05,1.74,0.001,0.205,0.012,0.007,0.357,0.418
271000,-1.228,1.83,0.0,0.205,0.015,0.006,0.371,0.403
272000,1.342,1.79,0.001,0.182,0.011,0.001,0.383,0.422
273000,1.6092,1.78,0.002,0.209,0.009,0.006,0.371,0.403
274000,1.672,1.78,0.0,0.198,0.013,0.003,0.366,0.42
275000,-0.988,1.79,0.001,0.201,0.017,0.007,0.369,0.405
276000,0.318,1.76,0.0,0.183,0.008,0.006,0.392,0.411
277000,0.1032,1.82,0.001,0.194,0.011,0.005,0.373,0.416
278000,1.902,1.82,0.0,0.194,0.012,0.003,0.377,0.414
279000,-0.4448,1.83,0.0,0.2,0.013,0.006,0.362,0.419
280000,0.234,1.77,0.0,0.188,0.006,0.005,0.38,0.421
281000,-0.724,1.8,0.0,0.186,0.017,0.01,0.375,0.412
282000,2.241,1.72,0.0,0.202,0.011,0.01,0.368,0.409
283000,-0.716,1.82,0.0,0.203,0.012,0.009,0.36,0.416
284000,0.9392,1.8,0.0,0.186,0.017,0.009,0.377,0.411
285000,-0.558,1.79,0.001,0.207,0.012,0.007,0.352,0.421
286000,2.2292,1.87,0.0,0.196,0.008,0.006,0.36,0.43
