phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,315401,1.8632,1.67,0.124,0.08,0.111,0.026,0.445,0.214
2,316401,0.682,1.6,0.13,0.091,0.113,0.019,0.414,0.233
2,317401,0.39,1.61,0.137,0.081,0.105,0.012,0.451,0.214
2,318401,1.4392,1.69,0.123,0.078,0.095,0.014,0.463,0.227
2,319401,2.8972,1.61,0.119,0.076,0.085,0.026,0.452,0.242
2,320401,1.1784,1.66,0.146,0.071,0.089,0.023,0.462,0.209
2,321401,0.7676,1.61,0.146,0.073,0.084,0.028,0.452,0.217
2,322401,1.474,1.64,0.132,0.081,0.099,0.024,0.446,0.218
2,323401,0.684,1.61,0.128,0.063,0.087,0.03,0.462,0.23
2,324401,0.4872,1.63,0.134,0.09,0.091,0.033,0.423,0.229
2,325401,0.518,1.52,0.156,0.061,0.072,0.026,0.456,0.229
2,326401,0.6748,1.6,0.14,0.062,0.075,0.025,0.471,0.227
2,327401,0.63,1.61,0.171,0.054,0.077,0.023,0.455,0.22
2,328401,1.9032,1.66,0.139,0.072,0.085,0.026,0.443,0.235
2,329401,0.2884,1.58,0.141,0.07,0.092,0.028,0.448,0.221
2,330401,1.2524,1.63,0.154,0.069,0.095,0.03,0.444,0.208
2,331401,0.9544,1.57,0.134,0.068,0.101,0.023,0.451,0.223
2,332401,-0.2868,1.68,0.128,0.065,0.082,0.021,0.475,0.229
2,333401,1.682,1.59,0.145,0.078,0.114,0.019,0.444,0.2
2,334401,0.5652,1.51,0.136,0.084,0.104,0.014,0.45,0.212
2,335401,-2.0048,1.66,0.142,0.075,0.093,0.013,0.455,0.222
2,336401,0.4212,1.64,0.117,0.076,0.102,0.016,0.468,0.221
2,337401,0.6892,1.56,0.138,0.073,0.1,0.019,0.46,0.21
2,338401,1.6484,1.59,0.109,0.082,0.101,0.019,0.454,0.235
2,339401,-0.0232,1.55,0.124,0.072,0.098,0.031,0.47,0.205
2,340401,0.5868,1.59,0.125,0.079,0.117,0.024,0.459,0.196
2,341401,-1.388,1.63,0.15,0.071,0.09,0.026,0.438,0.225
2,342401,0.2992,1.56,0.137,0.066,0.095,0.021,0.459,0.222
2,343401,-0.5608,1.54,0.118,0.06,0.099,0.017,0.469,0.237
2,344401,1.858,1.6,0.128,0.065,0.101,0.021,0.471,0.214
2,345401,1.074,1.58,0.133,0.07,0.103,0.023,0.46,0.211
2,346401,1.3128,1.63,0.128,0.083,0.111,0.024,0.456,0.198
2,347401,2.9004,1.52,0.116,0.08,0.112,0.026,0.452,0.214
2,348401,0.4082,1.62,0.124,0.079,0.107,0.024,0.463,0.203
2,349401,-0.362,1.65,0.122,0.074,0.111,0.019,0.453,0.221
2,350401,0.9276,1.66,0.126,0.079,0.114,0.017,0.457,0.207
2,351401,1.7776,1.59,0.142,0.074,0.102,0.016,0.455,0.211
2,352401,2.2144,1.67,0.149,0.077,0.09,0.018,0.456,0.21
2,353401,1.8524,1.61,0.13,0.07,0.105,0.019,0.453,0.223
2,354401,1.2248,1.58,0.157,0.079,0.106,0.015,0.448,0.195
2,355401,0.7466,1.59,0.125,0.074,0.121,0.022,0.451,0.207
2,356401,0.7252,1.59,0.115,0.073,0.114,0.021,0.47,0.207
2,357401,1.1024,1.5,0.149,0.086,0.128,0.02,0.431,0.186
2,358401,-0.1536,1.57,0.156,0.077,0.119,0.015,0.454,0.179
2,359401,1.0744,1.62,0.153,0.068,0.088,0.019,0.471,0.201
2,360401,0.1096,1.53,0.139,0.069,0.1,0.027,0.453,0.212
2,361401,-0.81,1.56,0.142,0.073,0.115,0.02,0.453,0.197
2,362401,-0.828,1.61,0.136,0.067,0.112,0.018,0.462,0.205
2,363401,0.1012,1.48,0.15,0.071,0.102,0.024,0.443,0.21
2,364401,0.012,1.56,0.15,0.063,0.09,0.026,0.47,0.201
2,365401,0.13,1.54,0.132,0.073,0.1,0.026,0.459,0.21
2,366401,1.634,1.58,0.151,0.085,0.11,0.032,0.435,0.187
2,367401,1.7068,1.56,0.146,0.067,0.098,0.025,0.461,0.203
2,368401,0.174,1.54,0.146,0.072,0.098,0.029,0.46,0.195
2,369401,-0.4708,1.58,0.145,0.077,0.1,0.023,0.468,0.187
2,370401,-0.4876,1.68,0.122,0.092,0.119,0.026,0.455,0.186
2,371401,0.742,1.47,0.15,0.068,0.091,0.028,0.467,0.196
2,372401,2.1692,1.53,0.13,0.077,0.101,0.027,0.458,0.207
2,373401,1.3612,1.53,0.127,0.079,0.109,0.027,0.456,0.202
2,374401,0.3684,1.61,0.137,0.078,0.095,0.033,0.449,0.208
2,375401,0.4172,1.54,0.115,0.065,0.097,0.024,0.481,0.218
2,376401,0.202,1.58,0.133,0.088,0.106,0.024,0.468,0.181
2,377401,-0.5548,1.54,0.139,0.064,0.097,0.029,0.467,0.204
2,378401,0.7456,1.48,0.115,0.079,0.109,0.025,0.477,0.195
2,379401,-0.3528,1.5,0.145,0.066,0.09,0.034,0.451,0.214
2,380401,0.4352,1.57,0.148,0.075,0.1,0.041,0.451,0.185
2,381401,1.3652,1.5,0.141,0.076,0.105,0.03,0.464,0.184
2,382401,1.74,1.47,0.14,0.061,0.094,0.026,0.474,0.205
2,383401,-0.7392,1.58,0.14,0.074,0.112,0.026,0.458,0.19
2,384401,0.4584,1.64,0.149,0.08,0.104,0.032,0.448,0.187
2,385401,0.4612,1.54,0.141,0.066,0.102,0.031,0.469,0.191
2,386401,0.95,1.64,0.138,0.074,0.107,0.029,0.477,0.175
2,387401,-0.8168,1.52,0.14,0.071,0.103,0.034,0.454,0.198
2,388401,0.6904,1.46,0.143,0.072,0.094,0.041,0.446,0.204
2,389401,-0.4984,1.46,0.156,0.064,0.087,0.031,0.448,0.214
2,390401,-0.0608,1.47,0.183,0.062,0.088,0.035,0.46,0.172
2,391401,0.9,1.41,0.134,0.057,0.095,0.024,0.487,0.203
2,392401,1.158,1.61,0.139,0.052,0.066,0.025,0.49,0.228
2,393401,0.4232,1.45,0.159,0.072,0.087,0.027,0.459,0.196
2,394401,1.12,1.49,0.156,0.059,0.074,0.027,0.479,0.205
2,395401,0.6876,1.46,0.154,0.063,0.084,0.024,0.468,0.207
2,396401,1.976,1.53,0.14,0.062,0.086,0.014,0.49,0.208
2,397401,2.5572,1.49,0.144,0.062,0.094,0.023,0.467,0.21
2,398401,0.9084,1.57,0.166,0.071,0.101,0.016,0.468,0.178
2,399401,0.33,1.44,0.164,0.054,0.081,0.019,0.481,0.201
2,400401,2.4092,1.49,0.156,0.059,0.082,0.02,0.475,0.208
2,401401,0.792,1.52,0.163,0.065,0.096,0.015,0.461,0.2
2,402401,1.424,1.54,0.18,0.053,0.086,0.013,0.484,0.184
2,403401,0.946,1.48,0.191,0.061,0.089,0.015,0.464,0.18
2,404401,0.7972,1.49,0.173,0.041,0.079,0.011,0.512,0.184
2,405401,1.29,1.54,0.168,0.052,0.089,0.017,0.467,0.207
2,406401,0.708,1.48,0.166,0.053,0.091,0.01,0.484,0.196
2,407401,0.1012,1.58,0.168,0.058,0.097,0.01,0.486,0.181
2,408401,1.59,1.52,0.172,0.057,0.083,0.012,0.489,0.187
2,409401,-0.014,1.49,0.169,0.041,0.082,0.017,0.499,0.192
2,410401,1.074,1.48,0.184,0.052,0.064,0.014,0.501,0.185
2,411401,2.206,1.5,0.18,0.06,0.08,0.015,0.464,0.201
2,412401,1.8116,1.51,0.187,0.054,0.088,0.008,0.479,0.184
2,413401,2.27,1.52,0.187,0.046,0.072,0.009,0.497,0.189
2,414401,-0.4616,1.37,0.153,0.049,0.069,0.012,0.511,0.206
2,415401,0.196,1.49,0.183,0.057,0.074,0.014,0.484,0.188
2,416401,2.108,1.64,0.191,0.054,0.084,0.011,0.482,0.178
2,417401,0.218,1.44,0.174,0.054,0.076,0.013,0.497,0.186
2,418401,0.626,1.52,0.19,0.04,0.068,0.016,0.509,0.177
2,419401,1.746,1.46,0.185,0.05,0.088,0.009,0.51,0.158
2,420401,0.76,1.53,0.187,0.051,0.079,0.013,0.5,0.17
2,421401,3.2332,1.46,0.171,0.057,0.087,0.008,0.503,0.174
2,422401,1.0378,1.39,0.18,0.069,0.094,0.008,0.501,0.148
2,423401,-0.05,1.36,0.179,0.051,0.087,0.012,0.506,0.165
2,424401,1.554,1.46,0.145,0.054,0.078,0.014,0.512,0.197
2,425401,0.852,1.51,0.144,0.062,0.089,0.008,0.508,0.189
2,426401,0.626,1.52,0.159,0.059,0.098,0.015,0.507,0.162
2,427401,-0.6288,1.49,0.153,0.049,0.089,0.016,0.518,0.175
2,428401,0.77,1.47,0.156,0.054,0.102,0.012,0.497,0.179
2,429401,2.068,1.58,0.148,0.062,0.106,0.011,0.482,0.191
2,430401,1.412,1.45,0.155,0.058,0.103,0.009,0.508,0.167
2,431401,0.248,1.57,0.163,0.054,0.09,0.015,0.494,0.184
2,432401,-0.5376,1.39,0.181,0.051,0.096,0.013,0.487,0.172
2,433401,0.0942,1.41,0.171,0.053,0.101,0.013,0.489,0.173
2,434401,0.468,1.46,0.175,0.049,0.095,0.015,0.489,0.177
2,435401,0.998,1.54,0.175,0.042,0.083,0.009,0.511,0.18
2,436401,0.078,1.46,0.169,0.051,0.101,0.01,0.485,0.184
2,437401,0.6392,1.49,0.165,0.041,0.081,0.017,0.5,0.196
2,438401,-0.4728,1.51,0.186,0.049,0.093,0.013,0.48,0.179
2,439401,-0.2048,1.36,0.176,0.052,0.108,0.012,0.479,0.173
2,440401,1.338,1.47,0.181,0.046,0.079,0.009,0.494,0.191
2,441401,1.546,1.51,0.155,0.059,0.106,0.011,0.475,0.194
2,442401,0.978,1.44,0.171,0.05,0.108,0.01,0.474,0.187
2,443401,0.914,1.5,0.164,0.05,0.11,0.012,0.483,0.181
2,444401,0.7738,1.57,0.148,0.056,0.115,0.011,0.495,0.175
2,445401,0.0268,1.51,0.183,0.047,0.094,0.011,0.478,0.187
2,446401,1.5572,1.55,0.157,0.05,0.096,0.01,0.495,0.192
2,447401,2.088,1.54,0.163,0.052,0.084,0.013,0.506,0.182
2,448401,0.834,1.46,0.186,0.059,0.103,0.012,0.459,0.181
